id,username,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Opennes
0,A3MA61NPNHGY9Y,0.228495709,0.402090592,0.19654973,0.19392427,0.848544526
1,AB2ZW5W2HT0EY,0.50269056,0.884599303,0.627613345,0.605558173,0.797254823
2,AC51D84J636F,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
3,A3S2OGSY4017AM,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
4,A3SV72ZAHH2IDH,0.59165645,0.987382224,0.553006262,0.533109674,0.636058616
5,A2ACUB2881HW0X,0.326422442,0.574415132,0.280785328,0.581408673,0.694675419
6,A16TOENL3NDHDY,0.228495709,0.402090592,0.19654973,0.629707672,0.848544526
7,A32JZ9XNHMNWOO,0.228495709,0.402090592,0.900091385,0.19392427,0.492381143
8,A3GK9LT41X73NC,0.476032727,0.837688734,0.715768005,0.655277731,0.860737941
9,A2QT76USSDH0S5,0.456991418,0.804181185,0.802777799,0.650407243,0.832402803
10,A1ZP1R4GZNB46J,0.439414825,0.773251139,0.627613345,0.678006672,0.806247291
11,A2O9QQP0HGUWKO,0.228495709,0.402090592,0.627613345,0.77460467,0.492381143
12,A1ADZ3R45SPMES,0.228495709,0.402090592,0.763852365,0.919501668,0.492381143
13,A3RZ0JYXCWX2EJ,0.228495709,0.402090592,0.19654973,0.629707672,0.492381143
14,AI2356QT6UV93,0.228495709,0.402090592,0.627613345,0.19392427,0.492381143
15,A1OQXLX122VQHJ,0.326422442,0.574415132,0.854678378,0.77460467,0.638104712
16,A1GLYYFZG2W6P7,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
17,ALJ9ZJXYUFLF5,0.228495709,0.402090592,0.19654973,0.77460467,0.492381143
18,A2Q4WJ3NPIVA8E,0.285619636,0.50261324,0.600365541,0.600728273,0.756223062
19,A2UETHZQD3QWKY,0.399867491,0.703658537,0.612475676,0.613608006,0.934027363
20,A3AYA634I1IHI1,0.380826182,0.670150987,0.763852365,0.702156171,0.71906225
21,A4TUG0Q6O5QFO,0.476032727,0.837688734,0.555486804,0.587090908,0.785186658
22,A3CSQB7Q90KMAD,0.428429455,0.753919861,0.540915786,0.537500492,0.834556425
23,A3FWPWK8FIDZKO,0.228495709,0.402090592,0.627613345,0.629707672,0.848544526
24,A3WZBKO8J80LC,0.380826182,0.670150987,0.900091385,0.702156171,0.71906225
25,A1PVM3V959JFYM,0.285619636,0.50261324,0.245687162,0.242405337,0.064489534
26,A3HR34J2NAO7SG,0.228495709,0.402090592,0.627613345,0.919501668,0.492381143
27,A2T2OVNIRFWS4R,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
28,A24GDFTJOWF6KE,0.357024546,0.628266551,0.724926931,0.303006672,0.683643327
29,A3MVMGNZRCVZSE,0.228495709,0.402090592,0.19654973,0.629707672,0.492381143
30,ACTYP447JCDX0,0.399867491,0.703658537,0.673026351,0.678006672,0.660482284
31,A18OBUSMXVE8R0,0.357024546,0.628266551,0.569225193,0.303006672,0.738638021
32,AOMKUI325W2TJ,0.285619636,0.50261324,0.600365541,0.600728273,0.879318347
33,A39IBJB2PBVC7I,0.481043598,0.84650651,0.551925,0.581408673,0.865641093
34,A22VNXHU6IZ5MT,0.522275907,0.919064211,0.843992965,0.638231025,0.929551849
35,A2SYP47BL4TP9Q,0.228495709,0.402090592,0.627613345,0.19392427,0.848544526
36,A1DQFTHLIQZI1C,0.399867491,0.703658537,0.343962027,0.806804003,0.865641093
37,A3SMNIL7MANHDR,0.326422442,0.574415132,0.854678378,0.678006672,0.638104712
38,A6AOLZK82A67C,0.522275907,0.919064211,0.747824245,0.689371142,0.929551849
39,A2EQUA659UKXO4,0.380826182,0.670150987,0.900091385,0.557259174,0.71906225
40,A1D44YT0P8Q8XL,0.476032727,0.837688734,0.409478604,0.518904086,0.495550692
41,A2FJAV19FR2OTA,0.399867491,0.703658537,0.673026351,0.806804003,0.747397388
42,A2TZ5EXVPLL25Z,0.357024546,0.628266551,0.569225193,0.303006672,0.683643327
43,A1ODZ7SDUPEGNK,0.541174048,0.952319824,0.530299759,0.546909388,0.782600623
44,A3TCTFGX48CYWB,0.228495709,0.402090592,0.19654973,0.629707672,0.694675419
45,A3NNZW2PK7V2BR,0.380826182,0.670150987,0.627613345,0.702156171,0.71906225
46,A3JSMXMR8Z7H7Q,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
47,AUT732WA47U9M,0.326422442,0.574415132,0.763852365,0.77460467,0.638104712
48,A6DSDTFL9O4HB,0.285619636,0.50261324,0.927339189,0.242405337,0.577386558
49,A1QPSKOVBAOLC3,0.285619636,0.50261324,0.818347973,0.600728273,0.879318347
50,A3IH2L4B5VOA59,0.357024546,0.628266551,0.569225193,0.567608959,0.914488429
51,AYDVB1OR3ILA5,0.228495709,0.402090592,0.627613345,0.77460467,0.848544526
52,APH47HG47SJ64,0.380826182,0.670150987,0.627613345,0.323207116,0.848544526
53,A2BRSYSJO4L7VV,0.693742338,0.628266551,0.724926931,0.303006672,0.650712817
54,A36GOF4OEH4I1Y,0.228495709,0.402090592,0.627613345,0.19392427,0.848544526
55,A39MMTSRCSPCYZ,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
56,A2NOEX4EJZ8DV3,0.228495709,0.402090592,0.763852365,0.19392427,0.848544526
57,AAF8RFWLK6AZD,0.399867491,0.703658537,0.915229054,0.806804003,0.747397388
58,A28FWE3UF0HQ5K,0.326422442,0.574415132,0.854678378,0.678006672,0.638104712
59,A1W7UBO8X1KR5X,0.456991418,0.804181185,0.647076062,0.733205528,0.832402803
60,ADCC3WHSZNW1R,0.693742338,0.628266551,0.724926931,0.650407243,0.826563225
61,A25P6DY6ARTCGZ,0.742743564,0.731073804,0.654861149,0.600728273,0.756223062
62,A3F6L8ANIGHCAV,0.456991418,0.804181185,0.608150627,0.691806386,0.870525827
63,A37PU1H4RAUGC9,0.228495709,0.402090592,0.627613345,0.19392427,0.492381143
